,proteinID,ligandID,mean,median,max,min,var
21,7RDZ-zinc,Mrv1909-05201915082D-1704021549536,-13.525,-13.5,-12.8,-14.3,0.5391279069767432
22,7RDZ-no-extra,Mrv1909-03042003442D,-13.468181818181819,-13.6,-11.5,-14.6,1.3482663847780123
23,7RDZ-zinc,Mrv1652310211604252D-1704021547515,-13.418181818181818,-13.45,-12.6,-14.2,0.5229175475687102
24,7RDZ-zinc,Mrv1909-09142016392D,-13.388636363636364,-13.350000000000001,-12.1,-14.5,1.2554492600422835
25,7RDZ-no-extra,Mrv1652310201623482D-1704021546611,-13.363636363636363,-13.3,-11.9,-14.9,2.1939957716701906
26,7RDZ-no-extra,Mrv1718007201812002D,-13.320454545454545,-13.25,-12.5,-14.2,0.6909672304439747
27,7RDZ-no-extra,Mrv1909-05201915052D-1704021549512,-13.302272727272726,-13.35,-13.0,-13.6,0.09092494714587697
28,7RDZ-no-extra,Mrv1652306131722012D-1704021542073,-13.252272727272727,-13.25,-12.8,-13.8,0.2095295983086675
29,7RDZ-no-extra,Mrv1909-02212019082D,-13.234090909090908,-13.1,-12.9,-13.6,0.06229915433403798
30,7RDZ-no-extra,Mrv1572004221603222D,-13.195454545454545,-13.2,-12.4,-13.9,0.5083509513742063
31,7RDZ-zinc,Mrv1652310201622512D,-13.127272727272727,-13.15,-12.4,-13.6,0.1783086680761091
32,7RDZ-zinc,Mrv1909-07152216002D,-13.10681818181818,-13.1,-13.0,-13.2,0.003440803382663714
33,7RDZ-zinc,Mrv1652310211604462D,-13.1,-13.100000000000001,-11.3,-14.9,3.315348837209301
34,7RDZ-no-extra,1199,-13.063636363636363,-12.9,-12.6,-13.5,0.08748414376321406
35,7RDZ-no-extra,Mrv1909-12152020022D-1704021550328,-13.0,-13.0,-12.4,-13.6,0.36837209302325585
36,7RDZ-no-extra,Mrv1909-12231902552D,-12.925,-12.95,-12.7,-13.1,0.03261627906976743
37,7RDZ-no-extra,Mrv1909-03182218372D,-12.897727272727273,-12.899999999999999,-12.0,-13.7,0.6588319238900638
38,7RDZ-zinc,Mrv1718009221814542D,-12.895454545454545,-12.95,-11.4,-14.3,2.0204439746300222
39,7RDZ-no-extra,Mrv1572012161520342D,-12.854545454545455,-12.899999999999999,-11.6,-14.2,1.599281183932345
40,7RDZ-no-extra,Mrv1909-09132216432D-1704021550567,-12.852272727272727,-12.850000000000001,-11.9,-13.9,0.9281342494714584
41,7RDZ-zinc,Mrv1909-12101919052D,-12.85,-12.850000000000001,-12.3,-13.4,0.3095348837209305
42,7RDZ-no-extra,Mrv1652310211601272D-1704021547068,-12.85,-12.850000000000001,-12.8,-12.9,0.0025581395348837337
43,7RDZ-zinc,Mrv1652305011717592D,-12.829545454545455,-12.8,-12.6,-12.9,0.0035253699788584327
44,7RDZ-no-extra,Mrv1652306231722452D-1704021548255,-12.825,-12.850000000000001,-12.1,-13.5,0.4075000000000002
45,7RDZ-zinc,Mrv1718006121812052D,-12.727272727272727,-12.7,-12.2,-13.3,0.2587737843551803
46,7RDZ-no-extra,Mrv1909-05201915042D-1704021549506,-12.720454545454546,-12.649999999999999,-12.4,-13.1,0.03887420718816116
47,7RDZ-zinc,Mrv1652310211600202D-1704021546784,-12.7,-12.7,-12.3,-13.1,0.16372093023255743
48,7RDZ-zinc,Mrv1909-08212014252D,-12.6,-12.6,-11.5,-13.7,1.2381395348837194
49,7RDZ-no-extra,Mrv1652310211601282D,-12.570454545454545,-12.55,-11.8,-13.4,0.5542230443974624
50,7RDZ-no-extra,Mrv1909-05141920162D,-12.534090909090908,-12.55,-11.4,-13.6,1.1636945031712462
51,7RDZ-zinc,Mrv1652310211600112D-1704021546740,-12.513636363636364,-12.55,-12.0,-13.3,0.2677167019027487
52,7RDZ-zinc,Mrv1909-02102018162D,-12.45,-12.45,-11.7,-13.2,0.5755813953488373
53,7RDZ-no-extra,Mrv0541-04191212172D,-12.429545454545455,-12.45,-11.7,-12.9,0.23189746300211522
54,7RDZ-no-extra,Mrv1652310211600172D,-12.311363636363637,-12.15,-11.8,-12.9,0.19870507399577164
55,7RDZ-zinc,Mrv1909-12181921482D,-12.304545454545455,-12.4,-11.2,-12.9,0.3971881606765317
56,7RDZ-zinc,Mrv1909-10112218212D,-12.206818181818182,-12.2,-11.6,-12.9,0.3773942917547574
57,7RDZ-no-extra,Mrv1652306231722482D,-12.206818181818182,-12.2,-11.6,-12.9,0.3773942917547567
58,7RDZ-zinc,Mrv1652310201623072D-1704021546258,-12.15,-12.149999999999999,-12.1,-12.2,0.002558139534883758
59,7RDZ-zinc,Mrv1652310211602442D-1704021547279,-12.15,-12.15,-12.0,-12.3,0.02302325581395373
60,7RDZ-no-extra,Mrv0541-05041401352D,-12.118181818181817,-12.05,-11.5,-12.8,0.34896405919661716
61,7RDZ-no-extra,Mrv1909-05201914582D-1704021549449,-12.079545454545455,-12.1,-11.6,-12.5,0.18213002114164945
62,7RDZ-zinc,Mrv1652310201623012D-1704021546192,-12.006818181818181,-12.05,-11.2,-12.7,0.49320824524312623
63,7RDZ-no-extra,Mrv1572001261621122D,-11.922727272727274,-11.95,-11.5,-12.3,0.1469133192389007
64,7RDZ-zinc,Mrv1909-07282220332D,-11.854545454545455,-11.8,-11.7,-12.0,0.01090909090909092
65,7RDZ-no-extra,Lupeol,-11.85,-11.850000000000001,-11.4,-12.3,0.20720930232558185
66,7RDZ-zinc,E04,-11.811363636363637,-11.850000000000001,-11.2,-12.5,0.3666120507399594
67,7RDZ-zinc,Mrv1909-03022014522D,-11.65,-11.65,-11.5,-11.8,0.02302325581395373
