ligand	avg_energy	max_energy	min_energy	avg_rsmd
CNC(=O)NCc1cc2c(cc1O[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)OCC(=O)O2	Molecule_510	-7.196680	-6.556500	-8.417800	5.524924
O=C(O)CC[C@H](O)C(=O)N1C(=CC=c2ccc(=C3C=CC=C3)cc2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_877	-7.492286	-6.858000	-8.568600	5.307530
CCNC(=O)[C@@H](O[P@@](=O)(O)OP(=O)(O)O)c1c[nH]n(CCO)c1=O	Molecule_237	-6.513414	-6.100400	-7.275100	3.729797
C[C@H](CCO)C[C@@H]1C[C@@H](NC(=O)O)CC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C12	Molecule_1459	-6.497436	-5.834200	-7.899800	7.616967
CC(=O)O[C@@H]1[C@H](C[C@@H](O)C(O)O)OC(=C(C(=O)O)[C@H]1O)[C@@H](O)OP(=O)(O)O	Molecule_398	-6.541306	-5.900500	-7.120700	3.645782
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=c3ccc4c(c3=CC2)CCC[C@H]2CC=CC(=C42)F)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1445	-6.167930	-5.508300	-7.724500	9.863931
O=C(O)Cc1nc(OC(=O)O)cc(O[C@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H]2O[P@@](=O)(O)OP(=O)(O)O)n1	Molecule_569	-7.497661	-6.902500	-8.502500	4.323507
COc1ccc2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=c2c1	Molecule_783	-6.610902	-5.916900	-7.913800	6.563411
N=C1C=CC2=CC(=CC=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C[C@H]2C1	Molecule_858	-7.552876	-6.874900	-8.665600	5.955979
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C(=CC2)CCC2=C3CC(=C(O)O)C2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1156	-6.335869	-5.663400	-7.752500	6.770857
C[C@@H](C(=O)O)[C@@H](CCCNC(=O)C(=O)O)O[P@](=O)(O)OP(=O)(O)O	Molecule_256	-6.392202	-5.821000	-7.361300	3.632735
CC=C(O)CCC(=NOC)C=CC1=CC(=C2C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@H](O)CCC(=O)O)CCC1	Molecule_1270	-7.266628	-6.724700	-8.122600	4.455760
O=C(O)[C@@H](O)COP(=O)(O)O	Molecule_28	-4.906664	-4.438800	-5.727500	4.954479
Cc1ccccc1[C@H]1C=CC(=CC=C2C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@H](O)CCC(=O)O)CC1	Molecule_974	-7.428480	-6.921600	-8.200200	5.123238
O=C1C(=CCC=C1[C@H](O)C(=O)[C@@H]1C[P@](=O)(O)O[P@](=O)(OP(=O)(O)O)O1)O	Molecule_353	-7.146094	-6.544400	-8.335900	4.220362
CCOC(=O)CNC(=O)OCO[C@H](CO)CO[P@@](=O)(O)OP(=O)(O)O	Molecule_305	-5.694264	-5.428400	-6.388600	4.086988
O=C1O[C@@H](CO)[C@H]([C@@H]2C[P@@](=O)(O)O[P@](=O)(OP(=O)(O)O)O2)O1	Molecule_175	-6.955598	-6.442600	-7.660500	4.009171
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3CC4=C(C(=O)O)C[C@H]5CC=CCC5=C4CC3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1548	-6.692624	-6.020500	-7.769400	8.247080
O=C(O)CCOC[C@@H](O[P@](=O)(O)OP(=O)(O)O)[C@@H](CC(=O)NCC(=O)O)OP(=O)(O)O	Molecule_538	-6.839240	-6.555300	-7.405900	3.623898
C[C@@H]1C[C@H](C=CC(=O)O)C=CC1=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@@H](O)CCC(=O)O	Molecule_919	-6.774750	-6.326400	-7.503900	5.047742
C=C(C=O)CCO[P@@](=O)(O)OC[C@@H](OP(=O)(O)O)C(=C)C(=O)O	Molecule_184	-6.003054	-5.576400	-6.684400	3.615796
C[C@]1(F)C=C2CC3=CCC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@@H](O)CCC(=O)O)C=C3C=C2CC1	Molecule_1106	-6.942610	-4.194800	-8.536700	7.771068
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=CCC#CC2=C[C@@H](F)CC3=C=CC=C23)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1114	-6.823768	13.139500	-8.306300	5.176136
CC(=Cc1ccc2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=c2c1)C	Molecule_952	-6.477910	-5.847100	-8.210500	7.149212
O=C(O)O[C@@H]1C[C@@H](OP(=O)(O)O)[C@H](O)[C@H](CO[P@](=O)(O)OP(=O)(O)O)O1	Molecule_335	-6.834588	-6.350600	-7.948100	4.254373
CC(=C(C)C#CCC=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@@H](O)CCC(=O)O)C	Molecule_753	-7.458118	-6.878500	-8.216300	5.662109
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=C2C=CC(=CC2)CC(=O)O)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_810	-6.394226	-5.824300	-7.436100	5.910134
NC(=O)C=C1CCC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C2C1	Molecule_971	-6.668939	-5.805900	-8.259700	7.741989
CNCC(=O)NCc1ccc(S(=O)(=O)O)cc1OP(=O)(O)O	Molecule_157	-6.380476	-5.722300	-7.431600	4.671479
O=C(O)c1cc2c(cc1O)[C@@H](C=C1C=CN=C1)C(=O)N2	Molecule_113	-6.499836	-5.948300	-7.562700	5.366628
C[C@@H]1C[C@H](C(=O)O)C=CC1=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@@H](O)CCC(=O)O	Molecule_803	-6.941108	-6.297000	-7.796900	4.621945
O=C(O)CO[C@@H]([C@H](O)C(=O)OC(=O)O)[C@@H](O)[C@@H](O)CO[P@](=O)(O)OP(=O)(O)O	Molecule_432	-6.519776	-6.169400	-7.242200	3.654766
O=C(O)CC[C@H](O)C(=O)N1C(=c2cc3c4c(c(=CC(F)(F)F)c(F)cc4c2)CC=C3)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1365	-7.275712	-6.633300	-8.894800	9.187352
O=C(O)[C@H]1CO[P@@](=O)(O)O[P@@](=O)(O)O[P@](=O)(O)O[C@H](CO)／C(=C＼[C@@H]1CO)／OCCO	Molecule_532	-4.415298	-3.574200	-6.209200	6.113257
O=C(O)C(=O)[C@H](CO[P@@](=O)(O)OC[C@H]1ON(O)CC1=CO)OP(=O)(O)O	Molecule_341	-6.525453	-6.057400	-7.350800	3.910480
N=Cc1ccc2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=c2c1	Molecule_791	-6.542702	-5.910600	-8.782600	6.737520
O=C(O)CC[C@H](O)C(=O)N1C(=CC=CCC#Cc2cccc(F)c2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_846	-7.590760	-7.046800	-8.472400	5.448744
O=c1nc(CO)ncn1[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O[P@](=O)(O)OP(=O)(O)O	Molecule_348	-6.788938	-6.225100	-8.017100	4.695282
CC[C@@H]1CC[C@@H]2C(=C1C#CCC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@@H](O)CCC(=O)O)C)CCN[C@@H]2C	Molecule_1448	-7.393412	-6.950300	-8.044200	5.366017
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=c3ccc4c(c3=CC2)OCC[C@@H]2CC=CC(=C42)F)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1452	-6.380712	-5.595800	-7.640000	7.103332
Nc1cc(F)c(O[C@@H]2C[C@H](O)[C@H](O)[C@@H](O[P@](=O)(O)OP(=O)(O)O)[C@H]2O)cc1C(=O)O	Molecule_511	-7.240872	-6.814700	-8.358700	5.113003
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=c3ccc(=c4cc5c(=CC=C5)cc4F)nc3CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1461	-8.395172	-7.624400	-9.500500	9.228491
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=c4cc[nH]c4=C[C@H]4CC=C3[C@H]24)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1410	-7.197160	-6.460700	-9.469800	9.687988
O=C(O)CC[C@H](O)C(=O)N1C(=CC=C2CCC3=CCN=C3C2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_763	-7.374192	-6.769700	-8.701500	5.369675
C[C@H]1C=C(NC(=O)O)CC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C12	Molecule_1040	-7.155818	-6.504000	-9.118500	7.390030
O=C(O)COCCNC(=O)OCO[C@@H](CO)CO[P@](=O)(O)OP(=O)(O)O	Molecule_343	-5.729516	-5.276000	-6.337000	3.522210
C=C(C)N[C@@H]1CC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C2[C@@H](CCCC(=O)O)C1	Molecule_1484	-6.629306	-6.097800	-8.405400	6.619954
O=C(O)CC[C@H](O)C(=O)N1C(=CC=C2C=CCc3ccc(C(=O)O)cc23)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1022	-7.531174	-6.721000	-8.640100	4.437717
C#CC=C1NC(=O)CC1=c1ccc2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CCc2n1	Molecule_1347	-7.133716	-6.530200	-8.263100	7.716288
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3C=CC(=NC(=O)c4ccc(F)cc4)CC3=CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1515	-7.433618	-6.895900	-8.718300	6.313752
CC(=C1CCC(=CC=C2C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@H](O)CCC(=O)O)[C@@H](C)C1)O	Molecule_800	-7.066169	-6.398600	-8.202900	4.186623
C=C(C)CN1c2ccc(CNC(=O)C)c3c2[C@@H](O[C@@H]1CO)O[P@@](=O)(O)O3	Molecule_346	-6.815484	-5.981600	-8.188200	4.562074
CCC1=C2C[C@@H]3C=CCC3=C3CC4=CCC(=C5C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N5C(=O)[C@H](O)CCC(=O)O)C=C4[C@H](N1)[C@@H]23	Molecule_1583	-7.171526	-6.522600	-8.646500	7.250338
O=C(O)NC[C@@H](COP(=O)(O)O)[C@H](O)C(=O)NC(=O)C1=C(C2=CCCC(=C2)Cc2ccc(CC3=CCCC3)cc2O)CCC1	Molecule_1239	-8.236824	-7.831300	-8.675200	5.327058
CCCC[C@@H]1C[C@@H](NC(=O)N)CC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C12	Molecule_1309	-6.164944	19.205400	-8.109000	8.683511
CC=c1c(F)cc(=CC=C2C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@H](O)CCC(=O)O)cc1CC	Molecule_876	-6.966282	-6.310100	-8.447200	5.606346
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C[C@H]3C[C@H](C(=O)O)C=CC3=C2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_857	-6.928232	-6.204500	-8.019600	5.815166
C=C1C[C@H]2C(=CCCC)CC3=CCC(=C4C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N4C(=O)[C@@H](O)CCC(=O)O)C=C3[C@H]2C1	Molecule_1313	-7.140504	-6.509000	-8.516300	8.899395
CC=CC=Cc1ccc(F)cc1C#CCC=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O	Molecule_1295	-7.733284	-7.219600	-8.202700	4.595028
CCOC(=O)c1ccc(OP(=O)(O)O)c2cc(CNC(=O)N)c(=O)[nH]c12	Molecule_311	-6.582592	-6.082700	-7.595300	4.192373
O=C1CO[C@@H](N(CCOCO)C(=O)COP(=O)(O)O)O1	Molecule_103	-6.113928	-5.653300	-6.831800	3.590328
N=C1CCC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C2C1	Molecule_767	-6.916852	-6.392400	-8.072000	5.362419
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3CC[C@@H](C(=O)O)CC3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_862	-7.022124	-6.414300	-7.935400	7.556731
O=C(O)CC[C@H](O)C(=O)N1C(=CC=C2C=CC(=CC2)C2=CC=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_842	-7.196162	-6.637500	-8.114400	5.399497
Cc1ccn(c2cc(NC(=O)O)c(O)c(OC(=O)C(=O)O)c2)c1	Molecule_185	-6.732494	-6.194300	-7.576700	4.166076
CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O)C=CC1=CCCCC1	Molecule_815	-6.585157	-5.957000	-7.947500	5.641816
C[C@@H]1CC[C@]2(CC(=S)C(=CC3=CC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N4C(=O)[C@H](O)CCC(=O)O)CC=C3)C2)N1	Molecule_1315	-6.893576	-6.199000	-8.822800	8.999368
O=C1CCO[P@@](=O)(O)OC2=C[C@H](O)[C@H]1O[C@@H](C(=O)O)[C@H]2OP(=O)(O)O	Molecule_280	-3.732742	-2.824700	-5.014500	8.388159
CC1=CC(=CC(C)C)CC2=CCC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C12	Molecule_1048	-6.515374	-5.960700	-7.589100	10.058995
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=C2CCC3=CCCC=C3C2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_793	-7.196510	-6.605600	-8.497700	4.339387
O=C(O)O[C@@H]1[C@@H](C[C@H]2OC(=O)[C@H](O)[C@@H]2O)OC(=C(C(=O)O)[C@H]1O)[C@@H](O)OP(=O)(O)O	Molecule_534	-7.050584	-6.604600	-8.077900	4.119675
CCCc1cc(C)c(CC2=CC(=CCC2)C2=C(C(=O)NC(=O)[C@@H](O)[C@@H](CNC(=O)O)COP(=O)(O)O)CCC2)c(O)c1	Molecule_1012	-8.612566	-8.193300	-9.286900	8.338525
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=CC(=O)CCC4=CCCC3=C24)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1428	-6.031576	-5.294900	-7.378500	9.150866
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=C4CC=NC4=C[C@@H]4CC=C3[C@@H]24)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1429	-7.307834	-6.673100	-9.076000	9.051483
COC(=O)NC1=C[C@@H](C)C2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=C2C1	Molecule_1066	-6.492090	-5.836600	-7.931600	6.962951
CC1=CC[C@H](O)[C@@H](C[C@H]2OC(=C(C(=O)O)[C@@H](O)[C@H]2OC(=O)O)[C@H](O)OP(=O)(O)O)O1	Molecule_533	-7.075642	-6.616100	-7.734100	4.384398
CC(=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@@H](O)CCC(=O)O)C=CC(=C1C=CC(=CC1)F)[C@H]1CCC(=O)C1	Molecule_1470	-7.761248	-7.019800	-8.801100	5.097465
O=C(O)C=Cc1ccc(O)cc1	Molecule_33	-2.209080	124.666400	-6.012100	7.996421
C=C(C)CC1=C[C@H](O)[C@H](O)[C@H](C[C@H]2OC(=C(C(=O)O)[C@@H](O)[C@@H]2OC(=O)O)[C@H](O)OP(=O)(O)O)O1	Molecule_620	-7.208692	-6.655900	-8.061600	4.961903
O=C(O)NCc1cccc(NC(=O)C(F)(F)F)n1	Molecule_71	-6.039262	-5.554800	-6.897200	5.554229
CC(=O)NC1=CCC2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C2C1	Molecule_906	-7.271552	-6.629400	-8.775800	6.368717
CC1=C(OP(=O)(O)O)C=C2CN=CC(=C2C1)CO	Molecule_65	-5.861484	-5.249400	-7.055700	5.279310
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=C2CCCC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_629	-6.703972	-6.070400	-8.101200	4.540150
O=C1CC[C@@H](N2C[C@H](OP(=O)(O)O)[C@@H](CNC(=O)O)[C@H](O)C2=O)C1	Molecule_249	-6.513773	-5.959700	-7.839500	4.145545
O=C(O)CCO[C@H]1[C@H](CO)O[P@](=O)(O)O[P@](=O)(O)O[P@](=O)(O)OC[C@@H]2O[C@@H]1O[C@H](O)[C@@H]2O	Molecule_580	-5.083582	-4.283300	-6.004900	4.339155
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=c3ccc(c4ccccc4F)cc3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_1234	-6.980990	-6.238200	-8.598400	8.007874
C=C(C=CC(=O)O)C1=C(C(=O)NC(=O)[C@@H](O)[C@H](CNC(=O)O)COP(=O)(O)O)CC[C@@H]1C	Molecule_587	-7.411194	-6.992100	-8.008300	4.669341
CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@H](O)CCC(=O)O)C=CC(=C1CC=C(F)CC1)[C@@H]1CCC(=O)C1	Molecule_1483	-7.418238	-6.847500	-8.417700	5.751108
O=C1C[C@@H]2Cc3cc(C(=O)O)c(O)cc3C[N@@]2[C@H](C(=O)O)C1	Molecule_154	-6.260406	-5.552400	-7.732400	4.843974
CCCC=CC1=CC(=C2C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@@H](O)CCC(=O)O)CCC1	Molecule_742	-6.606508	-5.883200	-7.694900	5.765336
CC1=C(OP(=O)(O)O)C=C2CNC(=O)C(=C2C1)CO	Molecule_81	-6.107876	-5.530400	-6.867600	4.368975
CC(=O)NC[C@H]1OC(=C(C(=O)O)C[C@@H]1CC#CC(=O)O)[C@@H](O)OP(=O)(O)O	Molecule_401	-6.608612	-6.103000	-7.461700	4.195595
CC1=CCC(=CC1=c1ccc2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCc2n1)F	Molecule_1305	-7.197076	-6.566400	-8.452200	6.957276
CC1=CC(=C2CCC[C@H]2C)CC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C12	Molecule_1237	-7.046860	-6.419600	-8.441000	10.365097
O=C(O)NC[C@H](COP(=O)(O)O)[C@@H](O)CO	Molecule_44	-5.652850	-5.079900	-6.678300	3.189223
Cc1cnn(N)n1	Molecule_15	2.797714	300.183300	-3.880400	14.886186
O=C(O)C[C@@H]1OC(=C([C@@H](O)OP(=O)(O)O)O[C@H]1CO)C(=O)O	Molecule_163	-6.375718	-5.879200	-7.131700	4.273036
O=C(O)C1=CC=C2C(=NC=CN2[C@@H]2CC[C@@H](CO)O2)C1	Molecule_96	-6.023560	-5.537900	-7.414200	5.913992
O=C(O)NC[C@@H](COP(=O)(O)O)[C@H](O)C(=O)NC(=O)C1=C(C2=CCCC(=C2)Cc2ccc(CC3=CCCC[C@H]3O)cc2O)CCC1	Molecule_1374	-8.514160	-8.135800	-9.207500	7.177078
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=c3ccc(C4=C(F)C=CCC4)cc3=CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1189	-7.517322	-6.975600	-9.163800	8.902257
O=P(O)(O)OC[C@H](COC(CO)CO)OCCO	Molecule_73	-5.099558	-4.634000	-5.657700	3.698264
COC(N[C@H]1／C=C(／OCC(=O)O)＼[C@H](CO)O[P@@](=O)(O)O[P@](=O)(O)O[P@](=O)(O)OC1)OC	Molecule_562	-5.079954	-4.469700	-5.711200	4.676336
COCOCN1CO[C@H]2[C@H](OC)[C@@H](O[P@](=O)(O)OP(=O)(O)O)C[C@@H]12	Molecule_255	-6.331876	-5.924300	-7.208700	4.878606
