ligand	avg_energy	max_energy	min_energy	avg_rsmd
CC(=O)N[C@H]1CCC2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=C2C1	Molecule_941	-6.697445	-5.999100	-8.036800	6.673711
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C(c3ccc4c(c3)CCC(=C4)O)C=CC2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1242	-7.370310	-6.621100	-8.546900	6.751069
CCNC(=O)[C@@H](O[P@](=O)(O)OP(=O)(O)O)c1c[nH]n(OC(=O)O)c1=O	Molecule_296	-6.725806	-6.250900	-7.614200	4.593786
C[C@@H]1C=CC(=CC1=c1ccc2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CCc2n1)F	Molecule_1275	-6.936620	-6.295400	-8.492200	9.314435
CCC1=CC[C@H]2C(=C1C#CCC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@@H](O)CCC(=O)O)C)CCN[C@H]2C	Molecule_1508	-7.479700	-6.927600	-8.184600	4.527216
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C(C=CCC3=CC4=CC=C=C4C(=O)C3)CCC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1355	-7.719912	-7.176700	-8.828500	5.194465
NC1=CC=C2CC3=CCC(=C4C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@H](O)CCC(=O)O)C=C3C[C@H]2C1	Molecule_990	-6.959862	6.812400	-8.278800	7.701138
CON=C1C=C(C2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCC2)CC2=C1C=C(F)C2	Molecule_1373	-7.288244	-6.691700	-8.757300	5.723576
C[C@@H]1N[C@H]2CC(=CC=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CCC2=C1O	Molecule_855	-7.331612	-6.644000	-8.389400	6.255575
CC(=O)O[C@@H]1[C@@H](C[C@H](C)CC(=O)O)OC(=C(C(=O)O)[C@H]1O)[C@H](O)OP(=O)(O)O	Molecule_434	-6.506514	-5.942300	-7.207000	4.252473
Fc1ccccc1	Molecule_17	-2.119958	44.515000	-3.879900	21.440027
NC1=NNN(N)N1	Molecule_20	-3.715856	11.819500	-5.248700	10.359772
O=C(COP(=O)(O)O)N(CCCO)CCCO	Molecule_53	-5.004560	-4.379900	-5.883800	3.503566
COC(=O)C[C@@H](OP(=O)(O)O)[C@H](COCCCC(=O)O)O[P@@](=O)(O)OP(=O)(O)O	Molecule_472	-6.594418	-6.232100	-7.523100	3.850044
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=C2CCC3=C(CCC3)C2=O)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_796	-7.428970	-6.872100	-8.450400	5.024442
O=C(NCO)OC[C@H](COP(=O)(O)O)[C@H](O)C(=O)O	Molecule_85	-5.720552	-5.232300	-6.506400	3.324429
CCC(=CC(=O)NC(=O)[C@@H](O)[C@H](CNC(=O)O)COP(=O)(O)O)C	Molecule_226	-6.411744	-5.863500	-7.554400	4.267772
C[C@@H]1[C@@H]2OCC(=O)[C@@H]2O[C@H]1[C@H](O)[C@@H](CNC(=O)O)COP(=O)(O)O	Molecule_241	-7.013540	-6.478100	-7.780200	4.096570
C=C1O[C@H]2[C@@H](O[P@@](=O)(O)OP(=O)(O)O)[C@@H](CO)O[C@@H]2[C@@H](O)[C@@H]1O	Molecule_213	-6.238824	-5.638200	-7.164100	4.197836
O=C(O)NC[C@H]1[C@@H](OP(=O)(O)O)CN([C@@H]2C=CCC2)C(=O)[C@H]1O	Molecule_188	-6.702531	-6.116100	-7.654700	4.980746
CC1=CC(=CC=C2C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@H](O)CCC(=O)O)C=C(F)C1	Molecule_702	-7.204820	-6.507700	-8.607300	4.548961
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C(c3ccc4c(c3)CCON4)C=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1127	-7.472538	-6.680800	-9.364600	6.867749
O=C(O)CC[C@@H](O)C(=O)N1C(=CC=C2CCC3=C4C=CC=C[C@@H]4N=C3C2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_1062	-8.082530	-7.317300	-9.170500	4.635402
NC(=O)NCc1ccc(C(=O)O)cc1OP(=O)(O)O	Molecule_87	-6.522010	-5.874100	-7.555500	4.647910
C=C1CC(=NC(=O)N)CC1=CC1=CC(=C2C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@@H](O)CCC(=O)O)CC=C1	Molecule_1251	-7.128512	-6.492000	-8.053700	6.558702
O=CNCCC(=O)NC(=O)C(O)O	Molecule_37	-4.894004	-4.212600	-5.674600	3.786001
O=C(O)CO[C@H](C(=O)O)[C@@H](O)[C@@H](O)CO[P@@](=O)(O)OP(=O)(O)O	Molecule_189	-6.262446	-5.922400	-6.688100	3.806553
CCc1ccc2c(c1)C=C[C@@H](CCOC[C@H](OP(=O)(O)O)[C@@H](CC(=O)NC(=O)O)OP(=O)(O)O)C2	Molecule_648	-7.616124	-7.171400	-8.125000	4.883231
O=C(O)CCO[C@@H]1[C@@H]2COC(=O)[C@@H](CO[P@](=O)(O)O[P@](=O)(O)O[P@@](=O)(O)O[C@@H]1CO)O2	Molecule_567	-4.695854	-4.059600	-6.042600	4.019135
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C(C=CCc3ccncn3)C=CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1056	-7.423656	-6.897100	-8.271300	4.757032
CC(=O)[C@@H]1C=CC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC[C@H]2C1	Molecule_828	-6.847106	-6.196100	-7.977400	8.097265
C=C1NNC2=CCCC2=C1[C@@H]1C=CC(=CC=C2C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@@H](O)CCC(=O)O)[C@@H](C)C1	Molecule_1367	-7.713718	-7.094100	-9.552600	5.000817
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=C4CCC=NC4=C[C@H]4N=N[C@H]3[C@H]24)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1513	-7.269247	-6.614800	-8.709300	7.458433
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C[C@@H]3C=SC=CC3=C2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_734	-6.945163	-6.253900	-8.912400	5.763177
O=C1C2=CCC(=CC2=CN1[C@@H]1O[C@@H](CO)[C@H](O)[C@H]1O[P@](=O)(O)OP(=O)(O)O)O	Molecule_416	-7.082086	-6.537300	-8.050700	4.964484
C=CCCC=CC1=CC(=C2C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@H](O)CCC(=O)O)CC=C1	Molecule_799	-6.944092	-6.274500	-8.069700	4.545444
CCCC=C1C=CC2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=C2C1	Molecule_949	-7.563514	-6.720100	-8.927900	6.495533
C=C(O)OC(=O)N(CCCCC)[C@H](COP(=O)(O)O)CC(=O)O	Molecule_212	-6.258674	-5.861500	-6.917000	3.048899
O=C(O)C[C@@H]1／C=C(／OCCO)＼[C@H](CO)O[P@@](=O)(O)O[P@@](=O)(O)O[P@@](=O)(O)OC[C@@H]1O	Molecule_518	-4.807636	-3.885000	-5.826000	4.489138
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C(C3=CCC4=C(C=NC4=CF)C3)C=CC2)C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O	Molecule_1248	-7.177196	-6.523900	-8.071200	7.760604
NC(=O)O[C@@H](CO[C@@H]1C[C@@H](O)[C@H](O)[C@H](O[P@](=O)(O)OP(=O)(O)O)[C@H]1O)c1ccc(O)c(=O)o1	Molecule_608	-7.348676	-6.782200	-8.041400	4.798046
CC(=O)Cc1cc(NC(=O)O)cc(O[C@H]2C[C@@H](O)[C@H](O)[C@H](O[P@](=O)(O)OP(=O)(O)O)[C@H]2O)c1F	Molecule_621	-7.179412	-6.715100	-8.122400	5.374240
C[C@H]1NN(O)O[C@@H]1CO[P@](=O)(O)OC[C@@H](OP(=O)(O)O)C(=O)C(=O)O	Molecule_307	-6.798262	-6.360000	-7.441600	3.921452
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C=CC=C3CC2)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_677	-6.616772	-5.869100	-7.914700	5.305297
CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@H](O)CCC(=O)O)C=CC(=CCCO)[C@H]1CCC(=O)C1	Molecule_1228	-7.440266	-6.877500	-8.134100	5.357835
C[C@@H]1C[C@@H](O)C=CC1=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@H](O)CCC(=O)O	Molecule_700	-6.450518	-5.937500	-7.578000	4.810162
C=C(C)N[C@@H]1CC2=CCC(=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)C=C2[C@H](CCC(=O)N)C1	Molecule_1425	-6.591134	-5.940900	-7.957700	5.348024
O=C(O)Nc1cc(CC2=CNCC2=O)c(F)c(O[C@H]2C[C@H](O)[C@H](O)[C@H](O[P@@](=O)(O)OP(=O)(O)O)[C@@H]2O)c1	Molecule_706	-7.597822	-7.161100	-8.357000	6.844580
CC[C@@H](O)CCC[C@H]1OC(=C(C(=O)O)[C@H](O)[C@H]1OC(=O)C)[C@@H](O)OP(=O)(O)O	Molecule_415	-6.054160	-5.616200	-6.790600	5.052230
O=C(O)CC[C@@H]1OC(=C(C(=O)O)C(=O)C1=O)[C@@H](O)OP(=O)(O)O	Molecule_186	-6.209942	-5.650100	-6.898800	3.819145
COC(=O)C[C@H](OP(=O)(O)O)[C@H](COCCCCCC(=O)O)O[P@@](=O)(O)OP(=O)(O)O	Molecule_551	-6.143488	-5.755300	-6.607800	3.489922
O=C(O)CC[C@H](O)C(=O)N1C(=C2C=C3C=C4CCC5=C(C=CCC5)C(=O)N=C4CC3=CC2)C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1535	-6.428328	-5.619700	-7.858600	7.774777
O=C(O)COC(=C(O)C(=O)O)[C@H](O)OP(=O)(O)O	Molecule_78	-5.739138	-5.149800	-6.750000	3.683531
CC(=O)NCc1ccc2c3c1O[P@](=O)(O)O[C@@H]3OC(=Cc1ccccc1)N2C(=O)C(C)C	Molecule_577	-6.793694	-6.074900	-8.369800	6.709573
CCC[C@H]1OC(=O)[C@@H](OP(=O)(O)O)C(=O)[C@@H]1O	Molecule_60	-5.738563	-5.187600	-6.606200	3.794082
CC[C@@H]1CC[C@H]2CN=CCC2=C1C#CCC(=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@@H](O)CCC(=O)O)C	Molecule_1393	-7.418944	-6.917200	-8.770200	5.321456
CC(=CC(=O)NC(=O)[C@H](O)[C@H](CNC(=O)O)COP(=O)(O)O)C1=CCCC(=C1)Cc1ccc2c(c1C)CCCC2	Molecule_884	-8.164778	-7.774600	-8.763400	4.837610
O=C1N[C@H](CCO)C(=O)N1[C@@H]1O[C@H](CO)[C@H](O)[C@@H]1O[P@](=O)(O)OP(=O)(O)O	Molecule_374	-6.520454	-6.020400	-7.333300	4.124560
Oc1ccc2ccccc2c1	Molecule_29	-4.633220	-4.140000	-5.392100	8.818458
C[C@H]1C[C@@H]2C[C@@H](O)CC3=C2C(=CC1=O)CC1=CCC(=C2C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N2C(=O)[C@@H](O)CCC(=O)O)C=C31	Molecule_1532	-6.530062	-5.866000	-7.645700	7.519644
O=C(O)COC(=O)C[C@H](OP(=O)(O)O)[C@@H](COCCCO)O[P@](=O)(O)OP(=O)(O)O	Molecule_525	-6.362318	-5.923500	-7.188700	3.475404
COc1ccc(O[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)cc1	Molecule_136	-6.390490	-5.981900	-7.235100	4.460838
C=CC=CCC1=CC(=CC=C2C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N2C(=O)[C@H](O)CCC(=O)O)C=C(F)C1=O	Molecule_1049	-7.136038	-6.533700	-8.291500	4.818779
C[C@H]1C[C@H]2CC=CCC2=CC1=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O	Molecule_864	-7.507238	-6.942400	-8.827200	4.944051
CON=C1C=C(C2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCC2)C[C@@H]2CC(=C(O)C[C@@H]12)O	Molecule_1572	-7.471610	-6.960700	-8.459700	6.928522
CON=C1C=C(C2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@H](O)CCC(=O)O)CCC2)CC2=C1CC(=C(C)N2)O	Molecule_1577	-7.492048	-6.749900	-9.242000	5.234950
CC(=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@H](O)CCC(=O)O)CC#CC1=C(C)CC2=NCc3cccc1c23	Molecule_1498	-7.728112	-7.171900	-8.801000	4.288953
CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@@H](O)CCC(=O)O)CC#CC1=C(C)C[C@@H]2NCc3cccc1c23	Molecule_1475	-7.843322	-7.418900	-8.516600	5.607848
CN(C(=NC(=O)C(=O)O)CCCCC(=O)O)[C@H]1O[C@H](CO)[C@H](O)[C@H]1O	Molecule_285	-6.056874	-5.572900	-6.805400	3.594626
NC(=O)[C@H]1C=CC2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)C=C[C@@H]2C1	Molecule_852	-7.591606	-6.988200	-8.780300	6.331261
CC(=O)NC[C@@H]1OC(=C(C(=O)O)C[C@@H]1CC#CN)[C@H](O)OP(=O)(O)O	Molecule_264	-6.664751	-6.081100	-7.779100	4.505767
CCc1ccc2c(c1O)C=C[C@@H](CCOC[C@@H](OP(=O)(O)O)[C@H](CC(=O)NC(=O)O)OP(=O)(O)O)C2	Molecule_678	-6.597366	-6.177100	-7.108900	4.552935
CC(C)COC[C@H]1O[C@H](C(=O)O)O[C@H]1[C@@H]1C[P@@](=O)(O)O[P@@](=O)(OP(=O)(O)O)O1	Molecule_412	-6.485600	-5.905600	-7.670800	4.339454
CC(=O)N(O)c1ccc(F)c(O[C@@H]2C[C@H](O)[C@@H](O)[C@H](O[P@@](=O)(O)OP(=O)(O)O)[C@@H]2O)c1	Molecule_563	-7.408514	-6.936100	-8.111400	6.548248
O=C(O)CC[C@H](O)C(=O)N1C(=CC=C2C=CC(=CC2)C2=CN=CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	Molecule_859	-7.143849	-6.356700	-8.386400	5.081624
Nc1nc(=O)n([C@H]2O[C@H](CO)[C@@H](O)[C@@H]2O[P@@](=O)(O)OP(=O)(O)O)cc1F	Molecule_319	-6.473266	-5.878800	-7.685100	4.250317
C=C1CC(=C2C=CC3=CC(=C4C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@H](O)CCC(=O)O)CC[C@H]3C2)C(=C)N1	Molecule_1226	-7.473546	-6.883600	-8.583100	7.750259
CC(=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O)CC#CC1=C2CC=NC[C@H]2C[C@H]2C[C@@H](C)C[C@@H]12	Molecule_1543	-7.979140	-7.591900	-8.403200	5.944512
CON=C1C=C(C2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CCC2)CC2=C1CC(=CC2)O	Molecule_1469	-6.252774	35.254400	-8.677100	8.147348
COC(=O)N[C@@H]1C=C(C)C2=CC(=C3C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@@H](O)CCC(=O)O)CC=C2C1	Molecule_1120	-6.171958	-5.634100	-7.346600	11.791557
O=C(O)CCOC(=C(O)C(=O)O)[C@@H](O)OP(=O)(O)O	Molecule_86	-6.037358	-5.471100	-7.216200	3.455475
CC=C1C[C@H]2C(=NOC)C=C(C3=CC(=C4C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@H](O)CCC(=O)O)CCC3)C3=C2[C@H]3C1	Molecule_1571	-8.078548	-7.457100	-8.877200	5.616474
O=C1C=Cc2cc(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)ccc2=C1	Molecule_745	-7.042666	-6.510200	-7.960000	5.042856
O=C(O)CO[C@H]1C[C@@H](O)[C@@H](O)[C@@H](O[P@@](=O)(O)OP(=O)(O)O)[C@@H]1O	Molecule_206	-6.499768	-6.004500	-7.417300	4.255713
CC(C)Cc1ccc(CC2=CC(=CCC2)C2=C(C(=O)NC(=O)[C@H](O)[C@H](CNC(=O)O)COP(=O)(O)O)CCC2)c(O)c1	Molecule_1046	-8.214632	-7.904900	-8.799500	6.905323
C[C@H]1CCCC(=O)C1=CC=C1C(=O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N1C(=O)[C@@H](O)CCC(=O)O	Molecule_698	-6.837174	-6.161300	-7.689800	6.082010
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C(c3ccc4c(c3)CN=C4)C=CC2)C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	Molecule_1037	-7.278800	-6.570200	-8.511800	5.289906
O=C1CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]2OC(=C(O)C(=O)O)[C@@H](CO1)O2	Molecule_273	-5.197632	-4.394400	-6.351300	4.917963
O=C(O)CCC[C@H]1OC(=C(C(=O)O)[C@H](O)[C@H]1OC(=O)O)[C@H](O)OP(=O)(O)O	Molecule_390	-6.582478	-5.921600	-7.575600	3.983978
O=C(O)CC[C@@H](O)C(=O)N1C(=C2C=C3C(=CC2)CC2=C4CC=C[C@H]4CC4=CN=C3[C@@H]24)C(=O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	Molecule_1382	-7.018796	-6.123800	-8.896700	7.001031
CCC=CCC1=C[C@@H](O)C=C1C#CCC=CC=C1C(=O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)N1C(=O)[C@H](O)CCC(=O)O	Molecule_1172	-6.926328	-6.408100	-7.719800	4.118354
CC(=O)NCc1ccc2c3c1O[P@](=O)(O)O[C@@H]3OC(=Cc1ccc(N)cc1)N2C(=O)C(C)C	Molecule_609	-6.915492	-6.340900	-8.978500	6.479625
C=C1CC=CC1=C1C=CC2=CC(=C3C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N3C(=O)[C@H](O)CCC(=O)O)CC=C2C1	Molecule_1126	-7.407431	-6.757700	-8.393100	8.072936
O=C(O)CCC1=C2CC3=CC(=C4C(=O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H](O)N4C(=O)[C@@H](O)CCC(=O)O)CC=C3CC2=NC1	Molecule_1255	-6.822316	-6.152700	-7.955600	5.573353
CCNC[C@H](O[P@@](=O)(O)OP(=O)(O)O)[C@H](COCO)[C@H](O)OP(=O)(O)O	Molecule_318	-6.419458	-6.086700	-7.131900	3.819551
